epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,lr
1,2160.577699661255,38.75113907456398,245.41285506884256,997.6914649186311,24.6632939003132,886.8122642834982,0.009972609476841367
2,845.8860095342001,23.709236333767574,507.2944666345914,976.0124794288918,27.207480395281756,660.6914613511827,0.009890738003669028
3,858.3734861214956,23.766289969285328,450.7279273370902,896.5752605862087,25.528365276477956,725.0289397063078,0.009755282581475769
4,844.3893658320109,23.689511666695278,451.5464166998863,1071.232454087999,28.46294445461697,544.2328881157769,0.009567727288213004
5,842.7331786155701,23.652428070704143,424.2059813340505,1286.707177621347,31.2865282341286,485.4265576821786,0.009330127018922194
6,823.1464409033457,23.390255490938824,435.1098384459813,1029.7538542570892,28.459712169788503,583.0230500256574,0.009045084971874737
7,830.4137392044067,23.528519133726757,435.62562451759976,957.4429129141348,27.267374003375018,569.2415809631348,0.00871572412738697
8,796.2838042577108,23.07788920402527,436.01822496453923,1146.5306509512443,30.020182574236834,600.315764815719,0.008345653031794291
9,794.6515353520712,22.854941705862682,426.956335067749,903.6767691153067,25.39322687078405,751.2306690216064,0.007938926261462365
10,800.2713842391968,22.99818515777588,460.7260001202424,816.126341925727,24.3183806737264,548.8109751807319,0.007499999999999999
11,799.0981820424398,23.158991913000744,456.56093620260555,1210.764252839265,30.99629161976002,556.581063164605,0.007033683215379001
12,796.9735140005747,23.07194147010644,457.08849789698917,1033.1534791169342,28.38681146833632,528.0994316383644,0.0065450849718747366
13,789.6109356880188,22.90011425813039,445.9421339233716,1076.4884146231193,29.461656323185675,516.2283988528782,0.006039558454088796
14,786.8467475573221,22.903079519669216,437.72840403517085,710.0339691727249,22.38547522933395,637.529108259413,0.0055226423163382676
15,783.6742212772369,22.70539093017578,456.92435148358345,983.0219150119358,27.76075373755561,605.4083890561704,0.005000000000000001
16,786.1481156349182,22.724620550870895,424.4211014807224,1007.8475895634404,28.189260482788086,584.7296001999466,0.0044773576836617335
17,775.2489391962687,22.63431054353714,429.01254081726074,1089.699461195204,29.293159732112176,527.9857921600342,0.003960441545911203
18,777.2015181382498,22.795392682154972,433.9442570010821,871.152924714265,26.06673675113254,613.4368336995443,0.003454915028125263
19,772.3936755657196,22.521475598216057,438.7652535736561,939.628497088397,26.940210660298664,591.4103124406603,0.0029663167846209993
20,784.7488870620728,22.755614519119263,466.4791171153386,866.9498765733507,25.832934308935094,595.3261887585676,0.0025000000000000014
21,760.8997372786204,22.427539616823196,429.28234917918843,735.9519079702872,23.421980363351327,586.6314825835051,0.002061073738537635
22,775.3143134911855,22.586083124081295,440.9550420840581,927.017825656467,26.948319152549463,569.5044684939915,0.0016543469682057108
23,768.7792563438416,22.721329455574352,431.9600365161896,859.4624272099247,26.07515663570828,581.3599194420708,0.0012842758726130297
24,776.5529172420502,22.700731297334034,454.28868356347084,871.4151080096209,26.114862336052788,599.1976306350143,0.0009549150281252636
25,764.178470770518,22.665302574634552,466.20744931697845,892.2494162100332,26.481178636904115,589.1876421327944,0.0006698729810778067
26,770.1494428316752,22.648446331421535,432.5161360700925,904.8847633644386,26.68586582607693,596.234406012076,0.00043227271178699527
27,761.2837929725647,22.472810477018356,429.8878541986148,882.839761239511,26.32347336521855,593.8906882957176,0.0002447174185242324
28,750.5079480806986,22.215728138883907,438.58638339241344,891.8578423394097,26.4624058758771,588.2580427946867,0.00010926199633097158
29,756.5426372687022,22.363293091456097,445.73035930593807,890.1774178964121,26.430094365720397,590.0137212541368,2.7390523158633e-05
30,763.6818827788035,22.545898626248043,443.7681959569454,897.8662793194807,26.613546194853605,586.9756115807427,0.0
