method,MAE,RMSE,Pearson,N
POS,31.645561238102967,40.974200220714636,0.0885879401994203,107
CHROM,32.448777529238846,40.87643030351517,0.06569869933832381,107
Fused,31.49123701761707,39.70133833698755,0.06919357133604753,107
